"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Signature","Mode","Filter_Mode","GT_Source"
"B-cells","B intermediate kappa",0,0,1,28,-1.44476341373083,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B intermediate lambda",0,5,10,110,-1.29249815324463,125,0.88,0.478260865406427,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory kappa",0,0,2,42,-1.57223051288877,44,0.954545454545455,0.499999988095238,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B memory lambda",0,0,2,26,-1.59005053903035,28,0.928571428571429,0.499999980769231,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive kappa",2,1,38,174,-1.40294678056911,215,0.818604651162791,0.522142853677041,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B-cells","B naive lambda",0,0,2,14,-1.7660681274329,16,0.875,0.499999964285717,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasma",0,0,3,11,-1.77737055506452,14,0.785714285714286,0.499999954545459,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"B-cells","Plasmablast",0,0,1,1,-2.43996491791122,2,0.5,0.4999995000005,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD14 Mono",0,14476,0,13575,-0.023505375211844,28051,0.483939966489608,0.241969983236178,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","CD16 Mono",0,249,0,187,0.0215741790039579,436,0.428899082568807,0.214449540792547,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Doublet",0,63,0,58,-0.0268562458592532,121,0.479338842975207,0.239669419506864,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Eryth",0,8,0,11,-0.322906880754748,19,0.578947368421053,0.28947366897507,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","HSPC",0,0,0,2,-2.44045805071011,2,1,0.499999750000125,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","NK_CD56bright",0,0,0,1,-0.430202196049315,1,1,0.4999995000005,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","Platelet",0,6,0,72,-2.15104599770207,78,0.923076923076923,0.461538455621302,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC1",0,0,0,5,-0.601911036621593,5,1,0.49999990000002,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_1",0,107,0,103,0.0237688138513221,210,0.49047619047619,0.245238094070295,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","cDC2_2",0,20,0,29,-0.229789001007975,49,0.591836734693878,0.295918361307789,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"Classical-Monocytes","pDC",0,1,0,5,-0.52726716863014,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.859227731080566,1,1,0.4999995000005,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD14 Mono",8,30,14,57,-0.339429567821254,109,0.596330275229358,0.509404376684912,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD16 Mono",24,12,20,20,-0.089389034713616,76,0.578947368421053,0.585227256763301,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 CTL",0,1,0,3,0.626704675164165,4,0.75,0.374999906250023,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 Naive",0,1,0,39,-0.11380819228374,40,0.975,0.4874999878125,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 Proliferating",0,1,1,5,-0.546229298873038,7,0.714285714285714,0.416666597222234,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TCM_1",0,0,0,30,-0.301165780340682,30,1,0.499999983333334,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TCM_2",0,0,2,8,-0.1244105474598,10,0.8,0.499999937500008,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TCM_3",0,0,0,24,-0.607627267648685,24,1,0.499999979166667,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TEM_1",0,0,0,3,0.0238087341255179,3,1,0.499999833333389,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD4 TEM_3",0,0,0,9,-0.630194942264394,9,1,0.499999944444451,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 Naive",0,1,0,43,0.0695654804949252,44,0.977272727272727,0.488636352530992,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 Naive_2",0,0,0,2,0.67416870705699,2,1,0.499999750000125,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 Proliferating",0,1,1,1,1.44567497091491,3,0.333333333333333,0.249999875000062,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TCM_1",0,0,0,5,0.296774176069156,5,1,0.49999990000002,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TCM_2",0,0,0,4,0.180912624970773,4,1,0.499999875000031,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TCM_3",0,0,0,3,-0.11574784795936,3,1,0.499999833333389,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_1",0,4,0,4,0.849045925862113,8,0.5,0.249999968750004,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_2",0,1,0,2,0.803122933965808,3,0.666666666666667,0.333333222222259,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_4",0,6,0,1,1.3364108321902,7,0.142857142857143,0.0714285612244912,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","CD8 TEM_5",0,1,0,0,-0.0233676369679568,1,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","Doublet",5,0,11,3,-0.386365285664089,19,0.421052631578947,0.656249823567765,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","Eryth",0,1,0,0,0.877092853798782,1,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","HSPC",0,0,0,4,-1.80320719134904,4,1,0.499999875000031,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","MAIT",0,0,0,3,0.0815052715952376,3,1,0.499999833333389,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","NK Proliferating",0,1,0,3,-0.225798650910863,4,0.75,0.374999906250023,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","NK_1",0,1,0,0,0.601924752020119,1,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","NK_2",0,1,0,0,0.776000630027051,1,0,0,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
"DCs","NK_3",0,1,0,1,0.681319132640844,2,0.5,0.249999875000062,"vaccine","AUCell","HUMAN","gmm_dist_dual","raw","gmm_dual"
